id;idade;sexo;fatoe_i;fator_ii;fato_iii;fator_iv;fator_v;epn_ra;epn_rv;epn_rm;epn_re;epn_rn;epn_eg;gerenc;relac;percep;usofaci;conemo;regemo;experi;etrateg;ie1;ie2;ie;av_des1;av_des2;av_des
a078;26;2;6.1;5.7;6.1;4.7;7.45;99;111;88;88;106;93;;;;;;;;;;;;;;
a079;24;1;4.2;5.8;7.7;2.9;6.45;79;72;71;77;71;69;37.1965;36.1611;37.1063;40.1137;36.3402;36.6788;38.61;36.5095;38.4772;36.6423;37.5598;5.5;5.5;5.5
a080;25;2;6.3;9.5;6.8;3.5;6.65;104;91;88;91;103;91;30.5385;47.4111;45.4698;44.0993;43.3267;38.9748;44.7846;41.1507;40.9485;44.9869;42.9677;3.4;5;4.2
a081;25;1;5.2;3.9;6.5;7.8;6.75;87;72;76;84;90;77;32.206;27.7733;39.9041;32.553;25.3668;29.9897;36.2285;27.6782;33.5372;30.3695;31.9534;3.33333;5.1;4.21667
a082;40;2;9.1;2.5;4.4;5.6;7.25;94;95;76;77;90;83;50.4385;34.5644;41.0478;51.92;49.2642;42.5015;46.4839;45.8828;47.9019;44.4649;46.1834;4;3.6;3.8
a083;28;1;4.9;2.5;8.2;7.6;9.15;82;95;104;86;93;89;42.674;53.6111;25.6659;44.1733;40.7477;48.1426;34.9196;44.4451;38.6549;40.7099;39.6824;3.8;4.6;4.2
a084;23;1;4;4.1;8.1;7.3;7.75;109;99;106;116;111;109;41.499;35.9778;45.9129;43.2313;39.8075;38.7384;44.5721;39.2729;41.5387;42.3064;41.9225;4.9;5.6;5.25
a085;49;2;9.2;3.7;5.1;7.1;7.35;74;85;73;63;98;75;;;;;;;;;;;;3.7;3.4;3.55
a086;18;2;5.8;3.7;5.6;2.6;6.55;72;79;93;84;86;76;40.09;23.2511;35.8512;37.078;39.8972;31.6706;36.4646;35.7839;41.2004;31.0481;36.1242;5.1;4.6;4.85
a087;25;2;4.1;4.4;6.7;3.7;5.95;82;71;76;74;78;72;20.0242;19.4122;43.3356;35.7157;26.5605;19.7182;39.5256;23.1394;32.1861;30.4789;31.3325;3.3;4.4;3.85
a088;33;1;4.4;4.8;6.1;3.1;6.75;104;91;101;80;88;88;40.609;50.4333;30.8128;45.8913;45.6083;45.5212;38.352;45.5647;40.4296;43.4872;41.9584;2.9;1.9;2.4
a089;25;1;4.1;7.1;8.1;5;7.85;82;82;93;80;93;83;30.416;;44.9198;39.3377;36.1945;30.416;42.1287;33.3053;37.7466;40.1113;38.76;5.5;4.7;5.1
a090;26;2;5.5;4.8;7.1;3.1;6.05;79;111;82;80;88;83;48.58;53.5333;50.8523;45.831;42.9302;51.0567;48.3417;46.9934;49.7213;45.6137;47.6675;3;3.5;3.25
a091;41;1;5;3.8;6.9;6.8;8.45;73;85;82;80;71;73;40.5553;39.1444;32.2099;45.5783;31.7405;39.8499;38.8941;35.7952;39.8431;34.8462;37.3447;5.2;4.3;4.75
